NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-19,3.13,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,51,",,W",35,",,W",,,260,",,W",280,",,W",10.1,",,W",18.1,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-20,2.91,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,53,",,W",37,",,W",,,200,",,W",180,",,W",10.1,",,W",19.9,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-21,7.83,",,W",,,0.75,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,46,",,W",41,",,W",,,50,",,W",40,",,W",17.0,",,W",25.1,",,W",1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-22,10.74,",,W",,,0.68,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",38,",,W",,,40,",,W",40,",,W",21.0,",,W",38.9,",,W",1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-23,9.84,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,48,",,W",35,",,W",,,270,",,W",260,",,W",23.0,",,W",36.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-24,4.47,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,60,",,W",38,",,W",,,260,",,W",260,",,W",13.0,",,W",23.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-25,4.25,",,W",,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,56,",,W",42,",,W",,,20,",,W",20,",,W",13.0,",,W",17.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-26,7.83,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",33,",,W",,,10,",,W",360,",,W",16.1,",,W",25.1,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-27,4.03,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,47,",,W",34,",,W",,,30,",,W",20,",,W",15.0,",,W",21.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-28,1.57,",,W",,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,53,",,W",37,",,W",,,150,",,W",150,",,W",8.9,",,W",17.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-29,2.01,",,W",,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,59,",,W",49,",,W",,,250,",,W",230,",,W",10.1,",,W",16.1,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-30,3.36,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,70,",,W",52,",,W",,,170,",,W",170,",,W",8.9,",,W",19.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-31,5.82,",,W",,,0.06,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,65,",,W",39,",,W",,,290,",,W",290,",,W",16.1,",,W",28.0,",,W",,,,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-04-01,7.16,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,46,",,W",33,",,W",,,270,",,W",310,",,W",16.1,",,W",29.1,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-04-02,4.47,",,W",,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,52,",,W",39,",,W",,,50,",,W",50,",,W",14.1,",,W",21.0,",,W",,,,,,,,,,,,
